front,back,deck,tags,source
"刑法の意義犯罪と刑罰刑法とは，刑罰に関する法であり，刑罰を科すべきであると法が定めた行為が犯罪であるとは？","犯罪と刑罰は，法律により定められていなければならない（罪刑法定主義⇨10頁）。現在の日本における刑罰とは，死刑と有期・無期の懲役・禁錮と拘留，罰金と科料である。","刑法_基本概念","刑法,基本概念,罪刑法定主義","刑法の意義犯罪と刑罰刑法とは，刑罰に関する法であり，刑罰を科すべきであると法が定めた行為が犯罪である．犯罪と刑罰は，法律により定められていなければならない（罪刑法定主義⇨10頁）．現在の日本における刑罰とは，死刑と有期・無期の懲役・禁錮と拘留，罰金と科料である．"
"世紀初頭の学派の対立期の旧派理論の特色は，応報刑を主張し，道義的責任を強調するとは？","一般に，新派刑法学に比較し，罪刑法定主義を重視し，形式的・客観主義的犯罪理論を採用する。この旧派と新派との激しい論争が，明治以降の日本の刑法学界に持ち込まれることとなった。","刑法_基本概念","刑法,基本概念,罪刑法定主義","世紀初頭の学派の対立期の旧派理論の特色は，応報刑を主張し，道義的責任を強調する．一般に，新派刑法学に比較し，罪刑法定主義を重視し，形式的・客観主義的犯罪理論を採用する．この旧派と新派との激しい論争が，明治以降の日本の刑法学界に持ち込まれることとなった．"
"しかし結果が発生すればすべて処罰するとすれば，処罰範囲の不当な拡大につながるとは？","非難できる行為であることは必須の条件であり，この非難の概念は行為者の主観面と無関係には論じられない。犯罪論を形成する2つの側面，すなわち結果発生と非難に値する主観的事情を，それぞれ違法性と責任と呼ぶ。","刑法_基本概念","刑法,基本概念,違法性","しかし結果が発生すればすべて処罰するとすれば，処罰範囲の不当な拡大につながる．非難できる行為であることは必須の条件であり，この非難の概念は行為者の主観面と無関係には論じられない．犯罪論を形成する2つの側面，すなわち結果発生と非難に値する主観的事情を，それぞれ違法性と責任と呼ぶ．"
"さらに犯罪として処罰するには，そもそも刑罰法規に明確に定められた行為でなければならないとは？","この条文に定められた犯罪類型を，構成要件と呼ぶ。その内容は3章で検討する（⇨24頁）。","刑法_基本概念","刑法,基本概念,構成要件","さらに犯罪として処罰するには，そもそも刑罰法規に明確に定められた行為でなければならない．この条文に定められた犯罪類型を，構成要件と呼ぶ．その内容は3章で検討する（⇨24頁）．"
"戦後の刑法理論は，戦前の国家主義的・権威主義的刑法理論戦後日本の刑法学への反省から，罪刑法定主義を重視し，国家的道義や恣意性を持ち込みやすい主観的要件を排除しようとしたとは？","そこで，形式的・客観的犯罪論が主流を占めることとなった（旧派理論の優勢）。し。","刑法_基本概念","刑法,基本概念,罪刑法定主義","戦後の刑法理論は，戦前の国家主義的・権威主義的刑法理論戦後日本の刑法学への反省から，罪刑法定主義を重視し，国家的道義や恣意性を持ち込みやすい主観的要件を排除しようとした．そこで，形式的・客観的犯罪論が主流を占めることとなった（旧派理論の優勢）．し"
"罪刑法定主義罪刑法定主義とは，犯罪と刑罰が法律で定められているこ民主主義・自由主義とをいうとは？","①いかなる行為が犯罪であるかは国民自身がその代表を通じて決定しなければならないという法律主義（民主主義的要請）と，②犯罪は，国民の権利・行動の自由を守るために前もって成文法により明示されなければならないという事後法の禁止（自由主義的要請）が含まれる。派生原理として，慣習刑法の否定，刑法の不遡及，絶対的不定期刑の禁止，類推解釈の禁止（⇨14頁）がある。","刑法_基本概念","刑法,基本概念,罪刑法定主義","罪刑法定主義罪刑法定主義とは，犯罪と刑罰が法律で定められているこ民主主義・自由主義とをいう．①いかなる行為が犯罪であるかは国民自身がその代表を通じて決定しなければならないという法律主義（民主主義的要請）と，②犯罪は，国民の権利・行動の自由を守るために前もって成文法により明示されなければならないという事後法の禁止（自由主義的要請）が含まれる．派生原理として，慣習刑法の否定，刑法の不遡及，絶対的不定期..."
"法律主義刑法典には罪刑法定主義の定めはないが，憲法31条は「何人も，法律の定める手続によらなければ……刑罰を科せられない」と規定し，この「手続」の中に実体法としての刑法も含むと解されているとは？","広義の法律は，狭義の法律（国会が制定），政令（内閣が制定する命令），省令（各省大臣が定める命令）と条例（地方議会が制定）からなる。そして憲法73条6号は，原則として政令は罰則を設けることができないが，特に具体的な法律による委任がある場合には例外を認めると定めている（同様に省令についても，国家行政組織法12条3項は，法律の特定委任を条件に罰則規定を置くことを認めている）。","刑法_基本概念","刑法,基本概念,罪刑法定主義","法律主義刑法典には罪刑法定主義の定めはないが，憲法31条は「何人も，法律の定める手続によらなければ……刑罰を科せられない」と規定し，この「手続」の中に実体法としての刑法も含むと解されている．広義の法律は，狭義の法律（国会が制定），政令（内閣が制定する命令），省令（各省大臣が定める命令）と条例（地方議会が制定）からなる．そして憲法73条6号は，原則として政令は罰則を設けることができないが，特に具体的..."
"罪刑法定主義と刑法解釈下の罰金……を科する旨の規定を設けることができるとは？","」と定めている。","刑法_基本概念","刑法,基本概念,罪刑法定主義","罪刑法定主義と刑法解釈下の罰金……を科する旨の規定を設けることができる．」と定めている．"
"【白地刑罰法規刑罰が科される行為の具体的内容を下位の法規・行政処分に譲っているものをいうとは？","犯罪行為の内容を完全に行政庁の判断に委ねてしまうと罪刑法定主義に反する。猿払事件判決（最大判昭49116刑集。","刑法_基本概念","刑法,基本概念,罪刑法定主義","【白地刑罰法規刑罰が科される行為の具体的内容を下位の法規・行政処分に譲っているものをいう．犯罪行為の内容を完全に行政庁の判断に委ねてしまうと罪刑法定主義に反する．猿払事件判決（最大判昭49116刑集"
"憲法39条は「何人も，実行の時に適法であつた行為又は事後法の禁止と刑法6条既に無罪とされた行為については，刑事上の責任を問はれないとは？","」と規定する。同条は，事後的な法律で刑が重く変更されても，実行行為時に定められた刑より重く処罰されることはない，という趣旨も含むと解されている（事後法の禁止）。","刑法_基本概念","刑法,基本概念,罪刑法定主義","憲法39条は「何人も，実行の時に適法であつた行為又は事後法の禁止と刑法6条既に無罪とされた行為については，刑事上の責任を問はれない．」と規定する．同条は，事後的な法律で刑が重く変更されても，実行行為時に定められた刑より重く処罰されることはない，という趣旨も含むと解されている（事後法の禁止）．さらに，事後法の禁止の原則から論理必然的に導かれるわけではないが，刑法6条は犯罪後の法律で刑罰が軽く変更され..."
